#,Distance[3],,Designation,,,Stellar class,Apparent magnitude,Absolute magnitude,Epoch J2000.0,,,,,,Parallax[2][4],Discovery date[5],Additional
,Light-years,(±err),System,Star,Star #,,,,Right ascension[h],[m],[s],Declination[°],['],"[""]",mas(±err),,references
,0,,Solar System,Sun,,G2V,-26.74,4.85,—,,,,,,—,—,has eight planets
1,4.2421,16,Alpha Centauri,Proxima Centauri(V645 Centauri),1,M5.5Ve,11.09,15.53,14, 29, 43.0,?62° 40? 46?,,,768.87(029)[6][7],1915,[8]
,4.365,68,(Rigil Kentaurus),? Centauri A (HD 128620),2,G2V,0.01,4.38,14, 39, 36.5,?60° 50? 02?,,,747.23(117)[6][9],,
,,,,? Centauri B (HD 128621),2,K1V,1.34,5.71,14, 39, 35.1,?60° 50? 14?,,,,1689,has one suspected planet[10]
2,5.963,109,Barnard's Star (BD+04°3561a),,4,M4.0Ve,9.53,13.22,17, 57, 48.5,+04° 41? 36?,,,546.98(1 00)[6][7],1916,largest knownproper motion[11]
3,6.59,7,Luhman 16,Luhman 16A,5,L8±1[12],10.70,,10, 49, 15.57,?53° 19? 06?,,,495 (5)[13],2013,
,,,,Luhman 16B,5,T1±2[12],,,,,,,,,,,
4,7.7825,390,Wolf 359 (CN Leonis),,7,M6.0V,13.44,16.55,10, 56, 29.2,+07° 00? 53?,,,419.10(210)[6],1919,
5,8.2905,148,Lalande 21185 (BD+36°2147),,8,M2.0V,7.47,10.44,11, 03, 20.2,+35° 58? 12?,,,393.42(070)[6][7],1801,
6,8.5828,289,Sirius,Sirius A,9,A1V,-1.46,1.42,6, 45, 08.9,?16° 42? 58?,,,380.02(128)[6][7],,brightest star in the night sky
,,,(? Canis Majoris),Sirius B,9,DA2,8.44,11.34,,,,,,,,1844,
7,8.728,631,Luyten 726-8,Luyten 726-8 A (BL Ceti),11,M5.5Ve,12.54,15.4,1, 39, 01.3,?17° 57? 01?,,,373.70(270)[6],1949,
,,,,Luyten 726-8 B (UV Ceti),11,M6.0Ve,12.99,15.85,,,,,,,,,
8,9.6813,512,Ross 154 (V1216 Sagittarii),,13,M3.5Ve,10.43,13.07,18, 49, 49.4,?23° 50? 10?,,,336.90(178)[6][7],1925,
9,10.322,36,Ross 248 (HH Andromedae),,14,M5.5Ve,12.29,14.79,23, 41, 54.7,+44° 10? 30?,,,316.00(110)[6],1925,
10,10.522,27,Epsilon Eridani (BD?09°697),,15,K2V,3.73,6.19,3, 32, 55.8,?09° 27? 30?,,,309.99(079)[6][7],150,at least one planet[14]
11,10.742,31,Lacaille 9352 (CD?36°15693),,16,M1.5Ve,7.34,9.75,23, 05, 52.0,?35° 51? 11?,,,303.64(087)[6][7],1753,
12,10.919,49,Ross 128 (FI Virginis),,17,M4.0Vn,11.13,13.51,11, 47, 44.4,+00° 48? 16?,,,298.72(135)[6][7],1925,
13,11.089,15,WISE 1506+7027,,18,T6,14.30,,15, 06, 49.9,+70° 27? 36?,,,310(042)[15],2011,
